fecha,producto,categoria,cantidad,precio_unitario,canal,vendedor,cliente_id,revenue
2024-03-15 00:00:00.000000,Mouse,Tecnología,2,20.57,Tienda,Ana,1664,41.14
2024-04-18 00:00:00.000000,Mesa,Hogar,4,292.47,Tienda,Ana,1065,1169.88
2024-03-09 00:00:00.000000,Silla,Hogar,2,154.82,Online,Ana,1105,309.64
2024-04-12 00:00:00.000000,Notebook,Tecnología,1,1120.45,Online,Ana,1656,1120.45
2024-02-14 00:00:00.000000,Lámpara,Hogar,4,65.15,Tienda,Juan,1892,260.6
2024-06-07 00:00:00.000000,Monitor,Tecnología,1,391.72,Online,Carlos,1586,391.72
2024-02-12 00:00:00.000000,Lámpara,Hogar,4,62.3,Online,Luis,1808,249.2
2024-05-02 00:00:00.000000,Notebook,Tecnología,2,1248.26,Tienda,Ana,1023,2496.52
2024-06-12 00:00:00.000000,Teclado,Tecnología,4,48.7,Online,Ana,1018,194.8
2024-01-03 00:00:00.000000,Auriculares,Tecnología,4,83.48,Online,Ana,1987,333.92
2024-01-21 00:00:00.000000,Mesa,Hogar,1,282.24,Online,Ana,1855,282.24
2024-05-10 00:00:00.000000,Silla,Hogar,3,155.56,Tienda,Sofía,1335,466.68
2024-05-10 00:00:00.000000,Mouse,Tecnología,2,20.49,Online,Luis,1167,40.98
2024-01-07 00:00:00.000000,Mesa,Hogar,1,314.64,Online,Luis,1429,314.64
2024-03-18 00:00:00.000000,Silla,Hogar,2,138.93,Online,Ana,1929,277.86
2024-01-16 00:00:00.000000,Silla,Hogar,2,145.37,Tienda,Juan,1353,290.74
2024-04-04 00:00:00.000000,Mouse,Tecnología,3,18.51,Tienda,Luis,1529,55.53
2024-01-02 00:00:00.000000,Lámpara,Hogar,4,54.74,Tienda,Luis,1141,218.96
2024-06-06 00:00:00.000000,Mesa,Hogar,2,277.55,Tienda,Luis,1439,555.1
2024-02-26 00:00:00.000000,Silla,Hogar,3,136.5,Tienda,Juan,1367,409.5
2024-01-05 00:00:00.000000,Notebook,Tecnología,4,1113.69,Online,Ana,1748,4454.76
2024-02-26 00:00:00.000000,Silla,Hogar,2,154.86,Tienda,Luis,1497,309.72
